#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: October, 2015"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Blunder Creek at Wooroora (116015A)"
#,"Catchment area:", 127.4,"km^2"
#,"Location:", 145.4374,"degrees E", 17.7362,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",1/06/2015
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1966-10-22,8.37974,A
1966-10-23,8.37974,A
1966-10-24,8.37974,A
1966-10-25,8.37974,A
1966-10-26,8.37974,A
1966-10-27,8.37974,A
1966-10-28,8.37974,A
1966-10-29,8.37974,A
1966-10-30,8.37974,A
1966-10-31,7.74783,A
1966-11-01,6.74201,A
1966-11-02,6.73003,A
1966-11-03,6.73003,A
1966-11-04,5.78409,A
1966-11-05,4.27835,A
1966-11-06,4.25936,A
1966-11-07,4.25936,A
1966-11-08,4.25936,A
1966-11-09,4.25936,A
1966-11-10,4.25936,A
1966-11-11,4.25936,A
1966-11-12,4.25936,A
1966-11-13,5.20429,A
1966-11-14,7.34193,A
1966-11-15,8.36674,A
1966-11-16,8.37974,A
1966-11-17,8.37974,A
1966-11-18,8.37974,A
1966-11-19,8.37974,A
1966-11-20,8.37974,A
1966-11-21,8.37974,A
1966-11-22,8.37974,A
1966-11-23,7.74783,A
1966-11-24,6.74201,A
1966-11-25,6.73003,A
1966-11-26,6.73003,A
1966-11-27,6.73003,A
1966-11-28,6.73003,A
1966-11-29,6.73003,A
1966-11-30,6.73003,A
1966-12-01,6.73003,A
1966-12-02,6.73003,A
1966-12-03,6.73003,A
1966-12-04,6.73003,A
1966-12-05,6.73003,A
1966-12-06,6.73003,A
1966-12-07,6.73003,A
1966-12-08,5.78409,A
1966-12-09,4.27835,A
1966-12-10,4.25936,A
1966-12-11,3.91143,A
1966-12-12,3.35852,A
1966-12-13,3.35151,A
1966-12-14,3.35151,A
1966-12-15,3.35151,A
1966-12-16,3.35151,A
1966-12-17,3.35151,A
1966-12-18,3.35151,A
1966-12-19,3.35151,A
1966-12-20,3.35151,A
1966-12-21,2.84561,A
1966-12-22,2.04069,A
1966-12-23,2.02974,A
