#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: October, 2015"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Nowendoc River at Nowendoc (208007)"
#,"Catchment area:", 221.1,"km^2"
#,"Location:", 151.7163,"degrees E", 31.5162,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",1/06/2015
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1951-01-01,376.865,E
1951-01-02,349.957,E
1951-01-03,200.743,E
1951-01-04,214.18,E
1951-01-05,187.265,E
1951-01-06,200.743,E
1951-01-07,227.667,E
1951-01-08,272.882,E
1951-01-09,272.882,E
1951-01-10,227.667,E
1951-01-11,214.18,E
1951-01-12,200.701,E
1951-01-13,187.265,E
1951-01-14,282.698,E
1951-01-15,354.843,E
1951-01-16,286.325,E
1951-01-17,304.676,E
1951-01-18,678.998,E
1951-01-19,1969.51,E
1951-01-20,2556.8,E
1951-01-21,1755.56,E
1951-01-22,1253.97,E
1951-01-23,1088.83,E
1951-01-24,1376.3,E
1951-01-25,1902.34,E
1951-01-26,2116.44,E
1951-01-27,2409.99,E
1951-01-28,2409.99,E
1951-01-29,1755.56,E
1951-01-30,1278.47,E
1951-01-31,1198.98,E
1951-02-01,1088.83,E
1951-02-02,966.494,E
1951-02-03,893.089,E
1951-02-04,880.818,E
1951-02-05,984.846,E
1951-02-06,984.846,E
1951-02-07,929.77,E
1951-02-08,978.699,E
1951-02-09,1003.15,E
1951-02-10,954.223,E
1951-02-11,831.867,E
1951-02-12,665.511,E
1951-02-13,549.323,E
1951-02-14,513.859,E
1951-02-15,490.599,E
1951-02-16,457.566,E
1951-02-17,435.523,E
1951-02-18,413.545,E
1951-02-19,373.195,E
1951-02-20,440.453,E
1951-02-21,549.323,E
1951-02-22,595.754,E
1951-02-23,595.754,E
1951-02-24,1008.08,E
1951-02-25,1101.06,E
1951-02-26,642.273,E
1951-02-27,480.804,E
1951-02-28,395.172,E
1951-03-01,336.47,E
1951-03-02,300.961,E
1951-03-03,283.826,E
1951-03-04,255.746,E
1951-03-05,214.18,E
1951-03-06,200.701,E
1951-03-07,200.701,E
1951-03-08,187.265,E
1951-03-09,173.831,E
1951-03-10,150.547,E
1951-03-11,138.278,E
1951-03-12,161.562,E
1951-03-13,200.743,E
1951-03-14,241.087,E
1951-03-15,241.087,E
1951-03-16,353.627,E
1951-03-17,457.566,E
1951-03-18,480.804,E
1951-03-19,619.036,E
1951-03-20,857.581,E
1951-03-21,929.77,E
1951-03-22,737.656,E
1951-03-23,527.235,E
1951-03-24,457.566,E
1951-03-25,435.567,E
1951-03-26,373.195,E
1951-03-27,336.47,E
1951-03-28,300.961,E
1951-03-29,269.167,E
1951-03-30,241.087,E
1951-03-31,227.667,E
1951-04-01,227.667,E
1951-04-02,227.667,E
1951-04-03,227.667,E
1951-04-04,214.18,E
1951-04-05,200.701,E
1951-04-06,200.701,E
1951-04-07,200.701,E
1951-04-08,200.701,E
1951-04-09,200.701,E
1951-04-10,200.701,E
1951-04-11,200.701,E
1951-04-12,200.701,E
1951-04-13,194.566,E
1951-04-14,181.132,E
1951-04-15,173.831,E
1951-04-16,161.562,E
1951-04-17,149.293,E
1951-04-18,161.562,E
1951-04-19,179.922,E
1951-04-20,167.653,E
1951-04-21,149.293,E
1951-04-22,149.293,E
1951-04-23,149.293,E
1951-04-24,149.293,E
1951-04-25,144.369,E
1951-04-26,133.354,E
1951-04-27,127.263,E
1951-04-28,127.263,E
1951-04-29,127.263,E
1951-04-30,127.263,E
1951-05-01,127.263,E
1951-05-02,127.263,E
1951-05-03,132.145,E
1951-05-04,149.251,E
1951-05-05,155.385,E
1951-05-06,144.369,E
1951-05-07,133.354,E
1951-05-08,127.263,E
1951-05-09,127.263,E
1951-05-10,127.263,E
1951-05-11,127.263,E
1951-05-12,127.263,E
1951-05-13,127.263,E
1951-05-14,127.263,E
1951-05-15,127.263,E
1951-05-16,127.263,E
1951-05-17,127.263,E
1951-05-18,127.263,E
1951-05-19,138.278,E
1951-05-20,149.293,E
1951-05-21,143.16,E
1951-05-22,138.236,E
1951-05-23,133.354,E
1951-05-24,127.263,E
1951-05-25,127.263,E
1951-05-26,127.263,E
1951-05-27,127.263,E
1951-05-28,127.263,E
1951-05-29,122.381,E
1951-05-30,118.711,E
1951-05-31,118.711,E
1951-06-01,122.381,E
1951-06-02,127.263,E
1951-06-03,123.59,E
1951-06-04,118.711,E
1951-06-05,113.829,E
1951-06-06,110.156,E
1951-06-07,110.156,E
1951-06-08,4890.29,E
1951-06-09,5501.85,E
1951-06-10,1168.31,E
1951-06-11,978.699,E
1951-06-12,636.193,E
1951-06-13,272.882,E
1951-06-14,188.477,E
1951-06-15,161.562,E
1951-06-16,490.599,E
1951-06-17,1431.29,E
1951-06-18,1529.19,E
1951-06-19,857.581,E
1951-06-20,642.273,E
1951-06-21,504.042,E
1951-06-22,435.523,E
1951-06-23,435.523,E
1951-06-24,435.523,E
1951-06-25,435.523,E
1951-06-26,457.566,E
1951-06-27,502.826,E
1951-06-28,502.826,E
1951-06-29,479.588,E
1951-06-30,502.826,E
1951-07-01,502.826,E
1951-07-02,457.566,E
1951-07-03,395.172,E
1951-07-04,354.843,E
1951-07-05,336.47,E
1951-07-06,309.562,E
1951-07-07,292.405,E
1951-07-08,283.826,E
1951-07-09,269.167,E
1951-07-10,254.53,E
1951-07-11,254.53,E
1951-07-12,254.53,E
1951-07-13,269.167,E
1951-07-14,319.335,E
1951-07-15,354.843,E
1951-07-16,463.691,E
1951-07-17,619.036,E
1951-07-18,619.036,E
1951-07-19,504.042,E
1951-07-20,395.172,E
1951-07-21,336.47,E
1951-07-22,309.562,E
1951-07-23,292.405,E
1951-07-24,283.826,E
1951-07-25,269.167,E
1951-07-26,241.087,E
1951-07-27,214.18,E
1951-07-28,187.265,E
1951-07-29,173.831,E
1951-07-30,187.265,E
1951-07-31,187.265,E
1951-08-01,173.831,E
1951-08-02,161.562,E
1951-08-03,149.293,E
1951-08-04,174.998,E
1951-08-05,687.599,E
1951-08-06,990.926,E
1951-08-07,545.608,E
1951-08-08,269.167,E
1951-08-09,241.087,E
1951-08-10,214.18,E
1951-08-11,200.701,E
1951-08-12,187.265,E
1951-08-13,161.562,E
1951-08-14,149.293,E
1951-08-15,149.293,E
1951-08-16,161.562,E
1951-08-17,173.831,E
1951-08-18,187.265,E
1951-08-19,214.18,E
1951-08-20,227.667,E
1951-08-21,227.667,E
1951-08-22,241.087,E
1951-08-23,241.087,E
1951-08-24,214.18,E
1951-08-25,187.265,E
1951-08-26,173.831,E
1951-08-27,167.653,E
1951-08-28,155.385,E
1951-08-29,149.293,E
1951-08-30,143.16,E
1951-08-31,132.145,E
1951-09-01,127.263,E
1951-09-02,127.263,E
1951-09-03,127.263,E
1951-09-04,127.263,E
1951-09-05,127.263,E
1951-09-06,123.59,E
1951-09-07,115.038,E
1951-09-08,110.156,E
1951-09-09,110.156,E
1951-09-10,110.156,E
1951-09-11,110.156,E
1951-09-12,110.156,E
1951-09-13,110.156,E
1951-09-14,101.56,E
1951-09-15,92.9637,E
1951-09-16,92.9637,E
1951-09-17,92.9637,E
1951-09-18,92.9637,E
1951-09-19,92.9637,E
1951-09-20,92.9637,E
1951-09-21,92.9637,E
1951-09-22,92.9637,E
1951-09-23,92.9637,E
1951-09-24,92.9637,E
1951-09-25,92.9637,E
1951-09-26,89.2912,E
1951-09-27,81.9485,E
1951-09-28,78.276,E
1951-09-29,78.276,E
1951-09-30,78.276,E
1951-10-01,78.276,E
1951-10-02,78.276,E
1951-10-03,78.276,E
1951-10-04,78.276,E
1951-10-05,78.276,E
1951-10-06,81.9485,E
1951-10-07,89.2912,E
1951-10-08,89.2912,E
1951-10-09,81.9485,E
1951-10-10,70.9753,E
1951-10-11,63.6746,E
1951-10-12,63.6746,E
1951-10-13,63.6746,E
1951-10-14,63.6746,E
1951-10-15,63.6746,E
1951-10-16,63.6746,E
1951-10-17,63.6746,E
1951-10-18,63.6746,E
1951-10-19,63.6746,E
1951-10-20,63.6746,E
1951-10-21,63.6746,E
1951-10-22,63.6746,E
1951-10-23,70.9753,E
1951-10-24,74.6036,E
1951-10-25,67.3028,E
1951-10-26,56.3319,E
1951-10-27,48.9869,E
1951-10-28,48.9869,E
1951-10-29,48.9869,E
1951-10-30,48.9869,E
1951-10-31,48.9869,E
1951-11-01,48.9869,E
1951-11-02,48.9869,E
1951-11-03,48.9869,E
1951-11-04,48.9869,E
1951-11-05,48.9869,E
1951-11-06,48.9869,E
1951-11-07,48.9869,E
1951-11-08,48.9869,E
1951-11-09,45.2724,E
1951-11-10,39.1369,E
1951-11-11,36.7181,E
1951-11-12,36.7181,E
1951-11-13,36.7181,E
1951-11-14,36.7181,E
1951-11-15,36.7181,E
1951-11-16,36.7181,E
1951-11-17,36.7181,E
1951-11-18,36.7181,E
1951-11-19,36.7181,E
1951-11-20,36.7181,E
1951-11-21,36.7181,E
1951-11-22,36.7181,E
1951-11-23,36.7181,E
1951-11-24,36.7181,E
1951-11-25,36.7181,E
1951-11-26,36.7181,E
1951-11-27,36.7181,E
1951-11-28,36.7181,E
1951-11-29,40.3905,E
1951-11-30,42.8094,E
1951-12-01,45.2724,E
1951-12-02,42.8536,E
1951-12-03,36.7181,E
1951-12-04,36.7181,E
1951-12-05,36.7181,E
1951-12-06,36.7181,E
1951-12-07,36.7181,E
1951-12-08,36.7181,E
1951-12-09,36.7181,E
1951-12-10,36.7181,E
1951-12-11,36.7181,E
1951-12-12,36.7181,E
1951-12-13,36.7181,E
1951-12-14,33.9101,E
1951-12-15,28.3804,E
1951-12-16,25.6609,E
1951-12-17,25.6609,E
1951-12-18,31.1884,E
1951-12-19,36.7181,E
1951-12-20,36.7181,E
1951-12-21,42.8536,E
1951-12-22,42.8536,E
1951-12-23,31.1884,E
1951-12-24,25.6609,E
1951-12-25,25.6609,E
1951-12-26,25.6609,E
1951-12-27,25.6609,E
1951-12-28,25.6609,E
1951-12-29,25.6609,E
1951-12-30,25.6609,E
1951-12-31,25.6609,E
1952-01-01,25.6609,E
1952-01-02,25.6609,E
1952-01-03,25.6609,E
1952-01-04,25.6609,E
1952-01-05,25.6609,E
1952-01-06,25.6609,E
1952-01-07,25.6609,E
1952-01-08,25.6609,E
1952-01-09,25.6609,E
1952-01-10,25.6609,E
1952-01-11,25.6609,E
1952-01-12,25.6609,E
1952-01-13,23.4565,E
1952-01-14,21.3832,E
1952-01-15,19.3093,E
1952-01-16,17.1065,E
1952-01-17,17.1065,E
1952-01-18,17.1065,E
1952-01-19,17.1065,E
1952-01-20,17.1065,E
1952-01-21,17.1065,E
1952-01-22,17.1065,E
1952-01-23,17.1065,E
1952-01-24,14.0825,E
1952-01-25,11.0588,E
1952-01-26,11.0588,E
1952-01-27,11.0588,E
1952-01-28,11.0588,E
1952-01-29,11.0588,E
1952-01-30,11.0588,E
1952-01-31,11.0588,E
1952-02-01,11.0588,E
1952-02-02,10.0656,E
1952-02-03,8.20767,E
1952-02-04,7.34384,E
1952-02-05,7.34384,E
1952-02-06,7.34384,E
1952-02-07,7.34384,E
1952-02-08,7.34384,E
1952-02-09,7.34384,E
1952-02-10,7.34384,E
1952-02-11,7.34384,E
1952-02-12,7.34384,E
1952-02-13,7.34384,E
