#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: October, 2015"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Ansons River at Downstream of Big Boggy Creek (302214)"
#,"Catchment area:", 229.9,"km^2"
#,"Location:", 148.2163,"degrees E", 41.0471,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",1/06/2015
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1979-05-24,22.5548,B
1979-05-25,22.7638,B
1979-05-26,23.1693,B
1979-05-27,26.8822,B
1979-05-28,96.9649,B
1979-05-29,81.8628,B
1979-05-30,174.345,B
1979-05-31,134.595,B
1979-06-01,74.637,B
1979-06-02,54.3989,B
1979-06-03,48.8492,B
1979-06-04,45.2167,B
1979-06-05,42.1545,B
1979-06-06,41.1475,B
1979-06-07,40.9843,B
1979-06-08,40.8946,B
1979-06-09,191.063,B
1979-06-10,302.341,B
1979-06-11,170.82,B
1979-06-12,108.435,B
1979-06-13,86.4194,B
1979-06-14,98.0983,B
1979-06-15,95.5395,B
1979-06-16,98.8271,B
1979-06-17,233.693,B
1979-06-18,242.269,B
1979-06-19,149.543,B
1979-06-20,99.5145,B
1979-06-21,75.7681,B
1979-06-22,68.3746,B
1979-06-23,69.5861,B
1979-06-24,66.5055,B
1979-06-25,61.0155,B
1979-06-26,58.3417,B
1979-06-27,56.3163,B
1979-06-28,55.9232,B
1979-06-29,55.9117,B
1979-06-30,88.3575,B
1979-07-01,174.457,B
1979-07-02,310.066,B
1979-07-03,361.173,B
1979-07-04,171.908,B
1979-07-05,108.327,B
1979-07-06,84.9871,B
1979-07-07,74.9819,B
1979-07-08,70.7172,B
1979-07-09,112.161,B
1979-07-10,177.671,B
1979-07-11,167.124,B
1979-07-12,114.964,B
1979-07-13,85.3688,B
1979-07-14,83.456,B
1979-07-15,68.3332,B
1979-07-16,58.1946,B
1979-07-17,55.8427,B
1979-07-18,65.1169,B
1979-07-19,118.47,B
1979-07-20,96.3695,B
1979-07-21,74.1473,B
1979-07-22,63.1627,B
1979-07-23,79.3109,B
1979-07-24,316.25,B
1979-07-25,276.754,B
1979-07-26,132.059,B
1979-07-27,97.4201,B
1979-07-28,86.1067,B
1979-07-29,75.2279,B
1979-07-30,66.4595,B
1979-07-31,61.2844,B
1979-08-01,62.1351,C
1979-08-02,80.0811,C
1979-08-03,115.941,B
1979-08-04,127.057,B
1979-08-05,76.4923,B
1979-08-06,52.854,B
1979-08-07,48.3227,B
1979-08-08,52.5459,B
1979-08-09,182.456,B
