#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: October, 2015"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Tyenna River at Newbury (304499)"
#,"Catchment area:", 210.2,"km^2"
#,"Location:", 146.7105,"degrees E", 42.7070,"degrees S"
#,"Source used:",Hydro-electric Corporation (Hydro Tasmania)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",16/04/2015
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1965-03-19,136.71,E
1965-03-20,123.305,E
1965-03-21,131.474,E
1965-03-22,217.312,E
1965-03-23,241.296,E
1965-03-24,288.935,E
1965-03-25,426.917,E
1965-03-26,248.986,E
1965-03-27,210.503,E
1965-03-28,339.082,E
1965-03-29,243.895,E
1965-03-30,217.716,E
1965-03-31,176.865,E
1965-04-01,168.93,E
1965-04-02,561.758,E
1965-04-03,826.605,E
1965-04-04,642.624,E
1965-04-05,395.307,E
1965-04-06,332.718,E
1965-04-07,242.399,E
1965-04-08,203.549,E
1965-04-09,169.144,E
1965-04-10,158.72,E
1965-04-11,157.175,E
1965-04-12,141.659,E
1965-04-13,134.177,E
1965-04-14,125.182,E
1965-04-15,121.442,E
1965-04-16,115.427,E
1965-04-17,246.793,E
1965-04-18,782.802,E
1965-04-19,1169.6,E
1965-04-20,1406.58,E
1965-04-21,1686.79,E
1965-04-22,1425.91,E
1965-04-23,1062.34,E
1965-04-24,803.577,E
1965-04-25,632.193,E
1965-04-26,472.132,E
1965-04-27,334.369,E
1965-04-28,292.348,E
1965-04-29,292.171,E
1965-04-30,299.262,E
1965-05-01,250.352,E
1965-05-02,221.377,E
1965-05-03,194.404,E
1965-05-04,179.251,E
1965-05-05,166.175,E
1965-05-06,158.832,E
1965-05-07,156.893,E
1965-05-08,148.483,E
1965-05-09,339.87,E
1965-05-10,716.075,E
1965-05-11,420.606,E
1965-05-12,275.31,E
1965-05-13,376.245,E
1965-05-14,649.467,E
1965-05-15,579.205,E
1965-05-16,354.611,E
1965-05-17,455.836,E
1965-05-18,866.146,E
1965-05-19,1095.97,E
1965-05-20,1251.48,E
1965-05-21,3065.24,E
1965-05-22,3723.39,E
1965-05-23,3152.24,E
1965-05-24,2620.43,E
1965-05-25,1700.28,E
1965-05-26,1706.42,E
1965-05-27,1945.82,E
1965-05-28,1567.5,E
1965-05-29,1112.1,E
1965-05-30,926.814,E
1965-05-31,797.413,E
1965-06-01,760.861,E
1965-06-02,1008.19,E
1965-06-03,1074.75,E
1965-06-04,869.068,E
1965-06-05,880.352,E
1965-06-06,1149.25,E
1965-06-07,1135.17,E
1965-06-08,847.761,E
1965-06-09,867.15,E
1965-06-10,888.585,E
1965-06-11,1031.42,E
1965-06-12,1703.51,E
1965-06-13,1723.09,E
1965-06-14,1190.82,E
1965-06-15,826.912,E
1965-06-16,658.993,E
1965-06-17,516.544,E
1965-06-18,826.268,E
1965-06-19,980.846,E
1965-06-20,841.389,E
1965-06-21,814.044,E
