#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: October, 2015"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Carey Brook at Staircase Road (608002)"
#,"Catchment area:", 48.3,"km^2"
#,"Location:", 115.8431,"degrees E", 34.3919,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",1/06/2015
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1975-04-24,6.30701,A
1975-04-25,6.26596,A
1975-04-26,6.08483,A
1975-04-27,5.97809,A
1975-04-28,6.03412,A
1975-04-29,6.67313,A
1975-04-30,6.25099,A
1975-05-01,6.07421,A
1975-05-02,6.03508,A
1975-05-03,6.0148,A
1975-05-04,5.93414,A
1975-05-05,13.51,A
1975-05-06,14.1669,A
1975-05-07,10.1372,A
1975-05-08,7.78403,A
1975-05-09,7.09479,A
1975-05-10,6.84797,A
1975-05-11,6.74799,A
1975-05-12,6.86681,A
1975-05-13,7.65893,A
1975-05-14,8.14096,A
1975-05-15,7.26722,A
1975-05-16,8.09605,A
1975-05-17,7.20781,A
1975-05-18,8.03084,A
1975-05-19,20.216,A
1975-05-20,29.2022,A
1975-05-21,35.9091,A
1975-05-22,32.971,A
1975-05-23,16.9161,A
1975-05-24,13.326,A
1975-05-25,11.5171,A
1975-05-26,10.257,A
1975-05-27,18.0178,A
1975-05-28,26.0699,A
1975-05-29,17.3619,A
1975-05-30,23.6771,A
1975-05-31,29.3809,A
1975-06-01,41.3801,A
1975-06-02,34.2172,A
1975-06-03,24.2741,A
1975-06-04,18.5148,A
1975-06-05,15.1092,A
1975-06-06,13.3888,A
1975-06-07,44.9692,A
1975-06-08,38.7318,A
1975-06-09,27.1349,A
1975-06-10,20.6222,A
1975-06-11,16.9692,A
1975-06-12,14.5001,A
1975-06-13,12.8439,A
1975-06-14,11.8992,A
1975-06-15,14.1572,A
1975-06-16,15.5898,A
1975-06-17,64.5964,A
1975-06-18,50.43,A
1975-06-19,33.7139,A
1975-06-20,26.268,A
1975-06-21,27.1678,A
1975-06-22,29.4021,A
1975-06-23,25.1561,A
1975-06-24,70.3345,A
1975-06-25,113.051,A
1975-06-26,84.2207,A
1975-06-27,106.255,A
1975-06-28,107.637,A
1975-06-29,72.5997,A
1975-06-30,67.8663,A
1975-07-01,48.9472,A
1975-07-02,48.1479,A
1975-07-03,40.6609,A
1975-07-04,33.3681,A
1975-07-05,28.9539,A
1975-07-06,30.2889,A
1975-07-07,31.6051,A
1975-07-08,27.289,A
1975-07-09,26.1989,A
1975-07-10,23.638,A
1975-07-11,36.0999,A
1975-07-12,60.6358,A
1975-07-13,108.376,A
1975-07-14,81.202,A
1975-07-15,55.7092,A
1975-07-16,47.8402,A
1975-07-17,65.2195,A
1975-07-18,122.257,A
1975-07-19,138.592,A
1975-07-20,118.968,A
1975-07-21,104.473,A
1975-07-22,92.8809,A
1975-07-23,83.2644,A
1975-07-24,67.422,A
1975-07-25,56.342,A
1975-07-26,45.5739,A
1975-07-27,61.3941,A
1975-07-28,85.5973,A
1975-07-29,105.922,A
1975-07-30,142.282,A
1975-07-31,136.969,A
1975-08-01,110.148,A
1975-08-02,83.617,A
1975-08-03,84.8872,A
1975-08-04,83.9357,A
1975-08-05,62.0945,A
1975-08-06,49.9953,A
1975-08-07,42.7648,A
1975-08-08,39.4939,A
1975-08-09,39.6171,A
1975-08-10,50.2851,A
1975-08-11,42.9571,A
1975-08-12,37.4711,A
1975-08-13,34.0602,A
1975-08-14,31.4718,A
1975-08-15,29.3891,A
1975-08-16,27.8802,A
1975-08-17,52.0191,A
1975-08-18,42.8122,A
1975-08-19,49.5993,A
1975-08-20,61.1623,A
1975-08-21,68.3059,A
1975-08-22,58.4623,A
1975-08-23,49.1404,A
1975-08-24,48.3531,A
1975-08-25,46.5148,A
1975-08-26,46.0521,A
1975-08-27,39.7499,A
1975-08-28,37.29,A
1975-08-29,35.4382,A
1975-08-30,32.9169,A
1975-08-31,31.1941,A
1975-09-01,30.06,A
1975-09-02,33.3299,A
1975-09-03,29.6649,A
1975-09-04,27.0412,A
1975-09-05,25.542,A
1975-09-06,24.4668,A
1975-09-07,26.3559,A
1975-09-08,32.5788,A
1975-09-09,30.8458,A
1975-09-10,26.0071,A
1975-09-11,25.372,A
1975-09-12,26.1718,A
1975-09-13,28.228,A
1975-09-14,25.9149,A
1975-09-15,24.847,A
1975-09-16,37.0872,A
1975-09-17,60.4185,A
1975-09-18,59.6408,A
1975-09-19,45.4271,A
1975-09-20,50.2755,A
1975-09-21,79.3279,A
1975-09-22,94.4313,A
1975-09-23,75.0823,A
1975-09-24,55.26,A
1975-09-25,44.6331,A
1975-09-26,44.464,A
1975-09-27,43.4999,A
1975-09-28,37.2948,A
1975-09-29,39.4418,A
1975-09-30,33.7322,A
1975-10-01,31.067,A
1975-10-02,28.9158,A
1975-10-03,27.132,A
1975-10-04,25.9072,A
1975-10-05,25.5502,A
1975-10-06,30.0532,A
1975-10-07,41.5158,A
1975-10-08,34.6002,A
1975-10-09,29.1582,A
1975-10-10,35.331,A
1975-10-11,34.2882,A
1975-10-12,31.0782,A
1975-10-13,28.7699,A
1975-10-14,26.735,A
1975-10-15,25.7391,A
1975-10-16,24.5668,A
1975-10-17,23.7481,A
1975-10-18,32.6112,A
1975-10-19,25.7922,A
1975-10-20,26.7659,A
1975-10-21,29.3959,A
1975-10-22,25.2348,A
1975-10-23,23.1608,A
1975-10-24,22.1142,A
1975-10-25,21.324,A
1975-10-26,20.9482,A
1975-10-27,23.3371,A
1975-10-28,24.2968,A
1975-10-29,22.5078,A
1975-10-30,22.4938,A
1975-10-31,22.885,A
1975-11-01,23.4579,A
1975-11-02,25.4522,A
1975-11-03,26.4278,A
1975-11-04,26.4322,A
1975-11-05,27.2001,A
1975-11-06,28.0459,A
1975-11-07,28.6351,A
1975-11-08,27.9188,A
1975-11-09,25.9912,A
1975-11-10,23.8781,A
1975-11-11,21.8881,A
1975-11-12,20.9781,A
1975-11-13,19.6499,A
1975-11-14,19.4712,A
1975-11-15,17.5682,A
1975-11-16,25.9448,A
1975-11-17,65.3306,A
1975-11-18,38.6482,A
1975-11-19,28.0468,A
1975-11-20,24.248,A
1975-11-21,21.3331,A
1975-11-22,21.1829,A
1975-11-23,20.4971,A
1975-11-24,19.5349,A
1975-11-25,19.2162,A
1975-11-26,17.2871,A
1975-11-27,16.3829,A
1975-11-28,18.0101,A
1975-11-29,16.7292,A
1975-11-30,15.1672,A
1975-12-01,14.532,A
1975-12-02,14.929,A
1975-12-03,14.7571,A
1975-12-04,14.0519,A
1975-12-05,13.6148,A
1975-12-06,13.2352,A
1975-12-07,12.9541,A
1975-12-08,12.7,A
1975-12-09,12.2981,A
1975-12-10,11.9919,A
1975-12-11,13.807,A
1975-12-12,13.6998,A
1975-12-13,12.8898,A
1975-12-14,12.36,A
1975-12-15,11.8229,A
1975-12-16,11.6229,A
1975-12-17,11.3548,A
1975-12-18,10.9462,A
1975-12-19,10.6912,A
1975-12-20,10.4231,A
1975-12-21,10.1662,A
1975-12-22,9.87493,A
1975-12-23,9.57982,A
1975-12-24,9.02485,A
1975-12-25,9.06881,A
1975-12-26,8.98911,A
1975-12-27,9.447,A
1975-12-28,12.5459,A
1975-12-29,10.6559,A
1975-12-30,10.2198,A
1975-12-31,9.73197,A
1976-01-01,9.41705,A
1976-01-02,9.06011,A
1976-01-03,9.57403,A
1976-01-04,9.71699,A
1976-01-05,8.87319,A
1976-01-06,8.39019,A
1976-01-07,23.5791,A
1976-01-08,49.2805,A
1976-01-09,17.501,A
1976-01-10,13.6018,A
1976-01-11,12.1489,A
1976-01-12,11.5408,A
1976-01-13,10.781,A
1976-01-14,10.3362,A
1976-01-15,9.78703,A
1976-01-16,9.49578,A
1976-01-17,9.32287,A
1976-01-18,9.24897,A
1976-01-19,9.16879,A
1976-01-20,8.91618,A
1976-01-21,8.46506,A
1976-01-22,8.25399,A
1976-01-23,8.05789,A
1976-01-24,7.71206,A
1976-01-25,7.37879,A
1976-01-26,7.06387,A
1976-01-27,6.81706,A
1976-01-28,6.76103,A
1976-01-29,6.44708,A
1976-01-30,7.72317,A
1976-01-31,8.4071,A
1976-02-01,7.48215,A
1976-02-02,7.13005,A
1976-02-03,6.78808,A
1976-02-04,6.51808,A
1976-02-05,6.24084,A
1976-02-06,6.12202,A
1976-02-07,6.51905,A
1976-02-08,6.48089,A
1976-02-09,6.1341,A
1976-02-10,6.02977,A
1976-02-11,5.88584,A
1976-02-12,5.70809,A
1976-02-13,6.36014,A
1976-02-14,7.08319,A
1976-02-15,6.67409,A
1976-02-16,6.21621,A
1976-02-17,6.47896,A
1976-02-18,6.7818,A
1976-02-19,6.4012,A
1976-02-20,6.09691,A
