Record identifier,Bureau of Meteorology Station Number,Rainfall district code,Station Name,Month/Year site opened. (MM/YYYY),Month/Year site closed. (MM/YYYY),Latitude to 4 decimal places in decimal degrees,Longitude to 4 decimal places in decimal degrees,Method by which latitude/longitude was derived,State,Height of station above mean sea level in metres,Height of barometer above mean sea level in metres,WMO (World Meteorological Organisation) Index Number,First year of data supplied in data file,Last year of data supplied in data file,Percentage complete between first and last records,Percentage of values with quality flag 'Y',Percentage of values with quality flag 'N',Percentage of values with quality flag 'W',Percentage of values with quality flag 'S',Percentage of values with quality flag 'I',
st,1006,1,WYNDHAM AERO                            ,Jan-51,       ,-15.51,128.1503,GPS            ,WA ,3.8,4.3,95214,1951,2015,47,76,24,0,  *,0,#
st,1007,1,TROUGHTON ISLAND                        ,Sep-56,       ,-13.7542,126.1485,GPS            ,WA ,6,8,94102,1956,2015,61,88,12,0,  *,0,#
st,1010,1,THEDA                                   ,Jan-65,       ,-14.7883,126.4964,GPS            ,WA ,210,      ,     ,1965,2015,94,98,1,0,  *,0,#
st,1013,1,WYNDHAM                                 ,Jan-68,       ,-15.4869,128.1236,GPS            ,WA ,11,      ,     ,1968,2015,100,99,  *,0,  *,0,#
st,1014,1,EMMA GORGE                              ,Jan-98,       ,-15.9086,128.1283,               ,WA ,130,      ,     ,1998,2015,85,95,4,0,1,0,#
st,1018,1,MOUNT ELIZABETH                         ,Jan-73,       ,-16.4181,126.1025,GPS            ,WA ,546,547,94211,1973,2015,99,99,1,0,  *,0,#
st,1019,1,KALUMBURU                               ,Nov-97,       ,-14.2964,126.6453,GPS            ,WA ,23,24,94100,1998,2015,99,67,33,  *,  *,0,#
st,1020,1,TRUSCOTT                                ,Jan-44,       ,-14.09,126.3867,GPS            ,WA ,51,52.5,95101,2004,2015,98,66,34,0,  *,0,#
st,1023,1,EL QUESTRO                              ,Jan-67,       ,-16.0086,127.9806,GPS            ,WA ,90,      ,     ,1967,2015,61,98,1,0,1,0,#
st,1024,1,ELLENBRAE                               ,Jul-86,       ,-15.9572,127.0628,GPS            ,WA ,300,      ,     ,1987,2015,76,97,1,0,2,0,#
